Model,Crop,Number of Models,Model Names (Random Test),Model Names (Temporal Test),R2 Random Test Crop,MAE Random Test Crop,sMAPE Random Test Crop,RMSE Random Test Crop,R2 Temporal Test Crop,MAE Temporal Test Crop,sMAPE Temporal Test Crop,RMSE Temporal Test Crop
Ensemble 2,0,2,"ExtraTrees, KNN","Stacking ExtraTrees, ExtraTrees",0.4920933174,292.2163524,0.1393243979,516.3005494,-124.2702184,595.8614776,0.198291544,671.545074
Ensemble 2,1,2,"ExtraTrees, KNN","ExtraTrees, KNN",0.5755978284,341.8726702,0.1459908395,559.1969646,-1.934394999,550.6374324,0.1736590031,662.9510787
Ensemble 2,2,2,"ExtraTrees, KNN","ExtraTrees, KNN",0.8749276336,248.8520781,0.07969734172,477.2033194,-0.2423852047,848.7310814,0.2096221787,1020.086549
Ensemble 3,0,3,"ExtraTrees, KNN, XGBoost 5000","Stacking ExtraTrees, ExtraTrees, KNN",0.6549028594,241.0625425,0.1176840997,425.5800921,-228.094961,781.7495828,0.2485239926,908.1529935
Ensemble 3,1,3,"ExtraTrees, KNN, XGBoost 5000","ExtraTrees, KNN, XGBoost 5000",0.709530304,289.1831073,0.1259665957,462.622149,-1.331148016,481.9220401,0.1529612009,590.8906522
Ensemble 3,2,3,"ExtraTrees, KNN, XGBoost 5000","ExtraTrees, KNN, XGBoost 5000",0.9135270295,206.550844,0.06745550052,396.7920493,-0.2833482267,865.460466,0.2129375318,1036.766946
Ensemble 4,0,4,"ExtraTrees, KNN, XGBoost 5000, Stacking LR","Stacking ExtraTrees, ExtraTrees, KNN, Stacking XGBRegressor",0.7161742986,217.6545598,0.1071673437,385.954833,-141.7343839,679.4577586,0.22520364,716.8289768
Ensemble 4,1,4,"ExtraTrees, KNN, XGBoost 5000, Stacking LR","ExtraTrees, KNN, XGBoost 5000, Stacking ExtraTrees",0.7566352478,266.3841697,0.1165705022,423.4526404,-1.359024508,472.3373525,0.1497137374,594.4131669
Ensemble 4,2,4,"ExtraTrees, KNN, XGBoost 5000, Stacking LR","ExtraTrees, KNN, XGBoost 5000, Stacking XGBRegressor",0.9284564897,186.2289615,0.06140455061,360.9174622,-0.3247515729,885.7748329,0.2172088575,1053.358265
Ensemble 5,0,5,"ExtraTrees, KNN, XGBoost 5000, Stacking LR, HistGB","Stacking ExtraTrees, ExtraTrees, KNN, Stacking XGBRegressor, Stacking RandomForestRegressor",0.7432455902,206.2066323,0.1018185004,367.0874858,-168.2325249,725.3322606,0.2374926108,780.5364116
Ensemble 5,1,5,"ExtraTrees, KNN, XGBoost 5000, Stacking LR, HistGB","ExtraTrees, KNN, XGBoost 5000, Stacking ExtraTrees, Stacking XGBRegressor",0.7786896788,253.9673842,0.111250687,403.8097873,-1.209487587,459.2675694,0.146232032,575.2650343
Ensemble 5,2,5,"ExtraTrees, KNN, XGBoost 5000, Stacking LR, LightGBM","ExtraTrees, KNN, XGBoost 5000, Stacking XGBRegressor, Stacking RandomForestRegressor",0.9342630556,177.9729653,0.05893657068,345.9613069,-0.3750791479,909.4332596,0.2224074104,1073.180403
