Model,Crop,R2 Random Train Crop,MAE Random Train Crop,sMAPE Random Train Crop,RMSE Random Train Crop,R2 Random Test Crop,MAE Random Test Crop,sMAPE Random Test Crop,RMSE Random Test Crop,R2 Temporal Train Crop,MAE Temporal Train Crop,sMAPE Temporal Train Crop,RMSE Temporal Train Crop,R2 Temporal Test Crop,MAE Temporal Test Crop,sMAPE Temporal Test Crop,RMSE Temporal Test Crop
AdaBoost,0,0.9830532621,49.74142528,0.02191400965,100.6744699,0.829687657,115.8346575,0.04874563105,298.9741814,0.9494425432,38.91925884,0.01324466619,112.8545588,-208.1368056,621.5,0.1938458857,867.6937824
AdaBoost,1,0.9748808926,74.36904402,0.03247719353,133.377446,0.8161674406,211.0574707,0.08821983233,368.0333912,0.9704229412,42.90123743,0.01354929745,98.03155747,-2.072290424,511.6910569,0.16145965,678.3492173
AdaBoost,2,0.9877188759,69.23689479,0.02233100619,149.8386808,0.9395518797,157.2607558,0.0514981193,331.7524758,0.9918800759,36.076017,0.009132764602,101.2574113,-0.7111284181,990.4945463,0.2408153413,1197.154459
AutoencoderRegressor,0,0.8326837097,220.7174696,0.115067284,316.3336616,0.6653414946,297.8433421,0.1590841638,419.0941101,0.6934751324,193.7345995,0.07166468919,277.8813207,-483.2440105,972.8817139,0.2785687127,1320.3327
AutoencoderRegressor,1,0.8356931795,231.8800275,0.1067692881,341.1207138,0.679406688,323.9622185,0.1465757655,486.0189867,0.6039840609,262.1834634,0.09524939882,358.7110398,-3.304643589,591.4409693,0.2145293778,802.954237
AutoencoderRegressor,2,0.9197617942,238.7362066,0.07346873045,382.997099,0.8517608733,313.9309351,0.1004324478,519.5223029,0.8790348056,269.5897655,0.06869138884,390.8238408,-1.889672686,1269.886688,0.3033421321,1555.726365
CatBoost,0,0.9929778095,41.90337406,0.02060168172,64.80560925,0.8746465886,132.9090211,0.06579684055,256.4948812,0.9823382512,32.09969752,0.01150391627,66.70269007,-230.0234099,769.8403967,0.2439965453,911.9672558
CatBoost,1,0.9903946998,52.5309651,0.02380103975,82.47755299,0.8239909653,214.0143581,0.09105095417,360.1168869,0.9868390878,35.49512723,0.01175014712,65.39302159,-7.250605032,819.4693602,0.233369271,1111.642375
CatBoost,2,0.9953273926,52.30488427,0.0167048264,92.42395067,0.9514729549,152.1220711,0.05016461089,297.2450944,0.996231373,31.45703226,0.008246372569,68.98305294,-0.8432039844,1029.244702,0.2475132202,1242.497678
DCNv2,0,0.9363857118,105.3892532,0.04840561761,195.0534477,0.8492049159,147.4601741,0.06749983231,281.3223365,0.9057703373,76.28504077,0.02623986767,154.0707923,-503.7093204,972.6303711,0.2755040713,1347.944195
DCNv2,1,0.9085221634,146.5635256,0.06427093886,254.529567,0.7682031378,249.1161931,0.1081430316,413.2661011,0.8465196319,109.9625724,0.03607460482,223.3134216,-4.758184245,694.9594518,0.2218414332,928.6776059
DCNv2,2,0.9479856744,179.462264,0.05206940046,308.3659138,0.8788149677,264.7955109,0.08216927494,469.7288816,0.9571303759,118.0928387,0.03047946094,232.6621153,-1.362869598,1149.185169,0.2906181458,1406.788348
DNN,0,0.9208233128,137.8380584,0.06811304292,217.6080506,0.8677450332,169.1756413,0.08366106797,263.4611719,0.8567424902,109.6387163,0.03849596005,189.970076,-254.6906377,767.0032959,0.2416190194,959.4197704
DNN,1,0.8755766311,190.4809984,0.08483277146,296.8460497,0.7768106895,261.3973599,0.1160803487,405.5203956,0.8294126272,123.8202373,0.04065152593,235.4300258,-8.168918277,879.9311255,0.2486376894,1171.874882
DNN,2,0.9463148897,185.908115,0.05511050687,313.2793759,0.8921103015,243.2166099,0.0751829651,443.2132776,0.9455197305,125.638723,0.03218239665,262.2831905,-1.295355938,1156.706552,0.2737423663,1386.544798
ElasticNet,0,0.3695349568,489.7194558,0.2608885154,614.0543338,0.2226896569,468.8335983,0.2811765754,638.7160758,-0.03456453502,386.1315225,0.140310313,510.5112193,-9.096478089,165.2452354,0.06040952705,190.6497341
ElasticNet,1,0.0985853504,605.1798702,0.2625961884,798.9923145,0.04593507739,649.056717,0.2932024318,838.4264507,-0.4567752336,564.3613103,0.1869297686,687.9940537,-5.009809301,794.5990204,0.2379691788,948.7516416
ElasticNet,2,0.6474448553,629.5983453,0.1893801095,802.8204164,0.6811769757,608.5245616,0.1845529446,761.899364,0.6631736805,529.8864925,0.1315015139,652.1595292,-0.2674349468,866.6587161,0.2141563762,1030.319037
ExtraTrees,0,0.9985167867,5.752327747,0.002598304809,29.78366199,0.9014910629,93.7902381,0.03916706861,227.377999,0.990795125,5.797101449,0.001822542101,48.15434123,-57.85332347,367.6388889,0.1266849742,460.2955187
