Model,Split,Feature,Importance
XGBoost,Random,growth_season,0.14636820554733276
XGBoost,Random,region,0.009930098429322243
XGBoost,Random,province,0.04251249134540558
XGBoost,Random,longitude,0.006206405349075794
XGBoost,Random,latitude,0.08964075893163681
XGBoost,Random,sub_program,0.002289743162691593
XGBoost,Random,crop,0.13082243502140045
XGBoost,Random,previous_crop,0.009112448431551456
XGBoost,Random,soil_ph,0.0016208031447604299
XGBoost,Random,organic_matter_percent,0.0026176990941166878
XGBoost,Random,phosphorus_ppm,0.003908060025423765
XGBoost,Random,potassium_ppm,0.002562307519838214
XGBoost,Random,electrical_conductivity,0.04636635258793831
XGBoost,Random,npk_nitrogen,0.001829785294830799
XGBoost,Random,npk_phosphorus_p2o5,0.003021721262484789
XGBoost,Random,npk_potassium_k2o,0.027096547186374664
XGBoost,Random,npk_magnesium_mgo,0.0009619197226129472
XGBoost,Random,npk_calcium_cao,0.0013610082678496838
XGBoost,Random,electrical_conductivity_encoded,0.0
XGBoost,Random,climate_zone,0.018388895317912102
XGBoost,Random,soil_health_index,0.0023929569870233536
XGBoost,Random,soil_fertility_index,0.005613828077912331
XGBoost,Random,crop_rotation_cycle,0.003987098578363657
XGBoost,Random,nutrient_availability_index,0.006115386262536049
XGBoost,Random,soil_ph_category,0.0
XGBoost,Random,low_phosphorus_stress,0.0
XGBoost,Random,high_conductivity_stress,0.0
XGBoost,Random,crop_soil_interaction,0.0018399885157123208
XGBoost,Random,npk_interaction,0.005608246196061373
XGBoost,Random,geo_cluster,0.00343710882589221
XGBoost,Random,soil_ph_median,0.0
XGBoost,Random,npk_nitrogen_median,0.0
XGBoost,Random,npk_phosphorus_p2o5_median,0.0
XGBoost,Random,npk_potassium_k2o_median,0.0
XGBoost,Random,longitude_cos,0.0031956739258021116
XGBoost,Random,latitude_cos,0.0
XGBoost,Random,previous_crop_1,0.00018448842456564307
XGBoost,Random,previous_crop_2,0.011098756454885006
XGBoost,Random,previous_crop_3,0.0
XGBoost,Random,previous_crop_4,3.9815690797695424e-06
XGBoost,Random,previous_crop_5,0.002137219300493598
XGBoost,Random,previous_crop_6,0.0
XGBoost,Random,previous_crop_7,0.0014364629751071334
XGBoost,Random,previous_crop_8,0.0004237930115777999
XGBoost,Random,previous_crop_9,0.006955022923648357
XGBoost,Random,previous_crop_10,0.001981121487915516
XGBoost,Random,previous_crop_11,0.0021158591844141483
XGBoost,Random,previous_crop_12,0.0006438000709749758
XGBoost,Random,previous_crop_13,0.0
XGBoost,Random,previous_crop_14,1.5491063095396385e-05
XGBoost,Random,previous_crop_15,0.0
XGBoost,Random,previous_crop_16,0.007092741318047047
XGBoost,Random,previous_crop_17,0.0
XGBoost,Random,previous_crop_18,0.0005233355914242566
XGBoost,Random,previous_crop_19,0.0025887510273605585
XGBoost,Random,previous_crop_20,0.007121635600924492
XGBoost,Random,previous_crop_21,5.7065004511969164e-05
XGBoost,Random,previous_crop_22,0.0003210107097402215
XGBoost,Random,previous_crop_23,3.0470329875242896e-05
XGBoost,Random,previous_crop_24,0.00013412331463769078
XGBoost,Random,previous_crop_25,0.00040330944466404617
XGBoost,Random,previous_crop_26,0.0031053817365318537
XGBoost,Random,previous_crop_27,0.0
XGBoost,Random,previous_crop_28,0.007961971685290337
XGBoost,Random,previous_crop_29,0.0
XGBoost,Random,previous_crop_30,0.00759533978998661
XGBoost,Random,previous_crop_31,0.0
XGBoost,Random,previous_crop_32,0.0003307743463665247
XGBoost,Random,previous_crop_33,1.556703409733018e-06
XGBoost,Random,previous_crop_34,0.014168569818139076
XGBoost,Random,previous_crop_35,0.0011097366223111749
XGBoost,Random,previous_crop_36,0.0
XGBoost,Random,previous_crop_37,0.0
XGBoost,Random,region_1,0.0035209280904382467
XGBoost,Random,region_2,0.0005467490409500897
XGBoost,Random,region_3,0.003278288757428527
XGBoost,Random,region_4,4.994238224753644e-06
XGBoost,Random,region_5,0.0
XGBoost,Random,region_6,0.015100124292075634
XGBoost,Random,region_7,0.0
XGBoost,Random,province_1,0.0
XGBoost,Random,province_2,7.348237431870075e-06
XGBoost,Random,province_3,0.0
XGBoost,Random,province_4,0.03532712534070015
XGBoost,Random,province_5,0.0006798469112254679
XGBoost,Random,province_6,0.007816066034138203
XGBoost,Random,province_7,0.0006191686261445284
XGBoost,Random,province_8,0.0
XGBoost,Random,province_9,0.001342057017609477
XGBoost,Random,province_10,0.005059238523244858
XGBoost,Random,province_11,0.0024773157201707363
XGBoost,Random,province_12,0.0006660851649940014
XGBoost,Random,province_13,0.00046952240518294275
XGBoost,Random,province_14,0.10183228552341461
XGBoost,Random,province_15,0.011171863414347172
XGBoost,Random,province_16,0.0
XGBoost,Random,province_17,0.0012738286750391126
XGBoost,Random,province_18,0.11440667510032654
XGBoost,Random,province_19,0.004252403974533081
XGBoost,Random,province_20,0.0064786444418132305
