Model,Split,Feature,Importance
GradientBoosting 100,Random,growth_season,0.3447314131525005
GradientBoosting 100,Random,region,0.0
GradientBoosting 100,Random,province,0.03938964495415353
GradientBoosting 100,Random,longitude,0.0
GradientBoosting 100,Random,latitude,0.3110783180380849
GradientBoosting 100,Random,sub_program,0.0
GradientBoosting 100,Random,crop,0.0850736660495993
GradientBoosting 100,Random,previous_crop,0.0038317905812293336
GradientBoosting 100,Random,soil_ph,0.0
GradientBoosting 100,Random,organic_matter_percent,0.0
GradientBoosting 100,Random,phosphorus_ppm,0.0007550013902264621
GradientBoosting 100,Random,potassium_ppm,0.0
GradientBoosting 100,Random,electrical_conductivity,0.0017177190689547249
GradientBoosting 100,Random,npk_nitrogen,0.0
GradientBoosting 100,Random,npk_phosphorus_p2o5,0.0
GradientBoosting 100,Random,npk_potassium_k2o,0.002384085526003879
GradientBoosting 100,Random,npk_magnesium_mgo,0.0015449740819023794
GradientBoosting 100,Random,npk_calcium_cao,0.0
GradientBoosting 100,Random,electrical_conductivity_encoded,0.0016715047273123049
GradientBoosting 100,Random,climate_zone,0.01156398147984709
GradientBoosting 100,Random,soil_health_index,0.0
GradientBoosting 100,Random,soil_fertility_index,0.0
GradientBoosting 100,Random,crop_rotation_cycle,0.0
GradientBoosting 100,Random,nutrient_availability_index,0.011534116861006161
GradientBoosting 100,Random,soil_ph_category,0.0
GradientBoosting 100,Random,low_phosphorus_stress,0.0
GradientBoosting 100,Random,high_conductivity_stress,0.0
GradientBoosting 100,Random,crop_soil_interaction,0.00038777891959017
GradientBoosting 100,Random,npk_interaction,0.0
GradientBoosting 100,Random,geo_cluster,0.0
GradientBoosting 100,Random,soil_ph_median,0.0
GradientBoosting 100,Random,npk_nitrogen_median,0.0
GradientBoosting 100,Random,npk_phosphorus_p2o5_median,0.0
GradientBoosting 100,Random,npk_potassium_k2o_median,0.0
GradientBoosting 100,Random,longitude_cos,0.0
GradientBoosting 100,Random,latitude_cos,0.14803849168983016
GradientBoosting 100,Random,previous_crop_1,0.0
GradientBoosting 100,Random,previous_crop_2,0.0044340630231988155
GradientBoosting 100,Random,previous_crop_3,0.0
GradientBoosting 100,Random,previous_crop_4,0.0
GradientBoosting 100,Random,previous_crop_5,0.0
GradientBoosting 100,Random,previous_crop_6,0.0
GradientBoosting 100,Random,previous_crop_7,0.0
GradientBoosting 100,Random,previous_crop_8,0.0
GradientBoosting 100,Random,previous_crop_9,0.0
GradientBoosting 100,Random,previous_crop_10,0.0
GradientBoosting 100,Random,previous_crop_11,0.0
GradientBoosting 100,Random,previous_crop_12,0.0
GradientBoosting 100,Random,previous_crop_13,0.0
GradientBoosting 100,Random,previous_crop_14,0.0
GradientBoosting 100,Random,previous_crop_15,0.0
GradientBoosting 100,Random,previous_crop_16,0.0
GradientBoosting 100,Random,previous_crop_17,0.0
GradientBoosting 100,Random,previous_crop_18,0.0
GradientBoosting 100,Random,previous_crop_19,0.0
GradientBoosting 100,Random,previous_crop_20,0.0
GradientBoosting 100,Random,previous_crop_21,0.0
GradientBoosting 100,Random,previous_crop_22,0.0
GradientBoosting 100,Random,previous_crop_23,0.0
GradientBoosting 100,Random,previous_crop_24,0.0
GradientBoosting 100,Random,previous_crop_25,0.0
GradientBoosting 100,Random,previous_crop_26,0.0
GradientBoosting 100,Random,previous_crop_27,0.0
GradientBoosting 100,Random,previous_crop_28,0.0
GradientBoosting 100,Random,previous_crop_29,0.0
GradientBoosting 100,Random,previous_crop_30,0.0
GradientBoosting 100,Random,previous_crop_31,0.0
GradientBoosting 100,Random,previous_crop_32,0.0
GradientBoosting 100,Random,previous_crop_33,0.0
GradientBoosting 100,Random,previous_crop_34,0.0
GradientBoosting 100,Random,previous_crop_35,0.0
GradientBoosting 100,Random,previous_crop_36,0.0
GradientBoosting 100,Random,previous_crop_37,0.0
GradientBoosting 100,Random,region_1,0.0
GradientBoosting 100,Random,region_2,0.0
GradientBoosting 100,Random,region_3,0.002419347693387949
GradientBoosting 100,Random,region_4,0.0
GradientBoosting 100,Random,region_5,0.0
GradientBoosting 100,Random,region_6,0.0
GradientBoosting 100,Random,region_7,0.0
GradientBoosting 100,Random,province_1,0.0
GradientBoosting 100,Random,province_2,0.0
GradientBoosting 100,Random,province_3,0.0
GradientBoosting 100,Random,province_4,0.014062376382310803
GradientBoosting 100,Random,province_5,0.0034706325100347644
GradientBoosting 100,Random,province_6,0.0
GradientBoosting 100,Random,province_7,0.0
GradientBoosting 100,Random,province_8,0.0
GradientBoosting 100,Random,province_9,0.0
GradientBoosting 100,Random,province_10,0.0
GradientBoosting 100,Random,province_11,0.0
GradientBoosting 100,Random,province_12,0.0
GradientBoosting 100,Random,province_13,0.0
GradientBoosting 100,Random,province_14,0.005812004131021255
GradientBoosting 100,Random,province_15,0.0
GradientBoosting 100,Random,province_16,0.0
GradientBoosting 100,Random,province_17,0.0
GradientBoosting 100,Random,province_18,0.0003986476640039937
GradientBoosting 100,Random,province_19,0.0
GradientBoosting 100,Random,province_20,0.0
GradientBoosting 100,Random,province_21,0.0
GradientBoosting 100,Random,province_22,0.0
GradientBoosting 100,Random,province_23,0.0057004420758013895
GradientBoosting 100,Random,province_24,0.0
GradientBoosting 100,Random,province_25,0.0
GradientBoosting 100,Random,province_26,0.0
GradientBoosting 100,Random,province_27,0.0
GradientBoosting 100,Random,province_28,0.0
GradientBoosting 100,Random,province_29,0.0
GradientBoosting 100,Random,sub_program_1,0.0
GradientBoosting 100,Temporal,growth_season,0.0
GradientBoosting 100,Temporal,region,0.0
GradientBoosting 100,Temporal,province,0.0773664390916041
GradientBoosting 100,Temporal,longitude,0.013479765689138317
GradientBoosting 100,Temporal,latitude,0.40264505866401745
GradientBoosting 100,Temporal,sub_program,0.0
GradientBoosting 100,Temporal,crop,0.06165918190311544
GradientBoosting 100,Temporal,previous_crop,0.0655159766499818
GradientBoosting 100,Temporal,soil_ph,0.0
GradientBoosting 100,Temporal,organic_matter_percent,0.0
GradientBoosting 100,Temporal,phosphorus_ppm,0.01888076473898343
GradientBoosting 100,Temporal,potassium_ppm,0.0
GradientBoosting 100,Temporal,electrical_conductivity,0.0
GradientBoosting 100,Temporal,npk_nitrogen,0.0
GradientBoosting 100,Temporal,npk_phosphorus_p2o5,0.007623677550965775
GradientBoosting 100,Temporal,npk_potassium_k2o,0.023205385339931155
GradientBoosting 100,Temporal,npk_magnesium_mgo,0.0
GradientBoosting 100,Temporal,npk_calcium_cao,0.0
GradientBoosting 100,Temporal,electrical_conductivity_encoded,0.0
GradientBoosting 100,Temporal,climate_zone,0.028560755390492826
GradientBoosting 100,Temporal,soil_health_index,0.0
GradientBoosting 100,Temporal,soil_fertility_index,0.0
GradientBoosting 100,Temporal,crop_rotation_cycle,0.0
GradientBoosting 100,Temporal,nutrient_availability_index,0.01853579721413565
GradientBoosting 100,Temporal,soil_ph_category,0.0
GradientBoosting 100,Temporal,low_phosphorus_stress,0.0
GradientBoosting 100,Temporal,high_conductivity_stress,0.0
GradientBoosting 100,Temporal,crop_soil_interaction,0.0
GradientBoosting 100,Temporal,npk_interaction,0.0
GradientBoosting 100,Temporal,geo_cluster,0.0
GradientBoosting 100,Temporal,soil_ph_median,0.0
GradientBoosting 100,Temporal,npk_nitrogen_median,0.0
GradientBoosting 100,Temporal,npk_phosphorus_p2o5_median,0.0
GradientBoosting 100,Temporal,npk_potassium_k2o_median,0.0
GradientBoosting 100,Temporal,longitude_cos,0.0016036306293893948
GradientBoosting 100,Temporal,latitude_cos,0.22953351089042973
GradientBoosting 100,Temporal,previous_crop_1,0.0
GradientBoosting 100,Temporal,previous_crop_2,0.0
GradientBoosting 100,Temporal,previous_crop_3,0.0
GradientBoosting 100,Temporal,previous_crop_4,0.0
GradientBoosting 100,Temporal,previous_crop_5,0.0
GradientBoosting 100,Temporal,previous_crop_6,0.0
GradientBoosting 100,Temporal,previous_crop_7,0.0
GradientBoosting 100,Temporal,previous_crop_8,0.0
GradientBoosting 100,Temporal,previous_crop_9,0.0
GradientBoosting 100,Temporal,previous_crop_10,0.0
GradientBoosting 100,Temporal,previous_crop_11,0.0
GradientBoosting 100,Temporal,previous_crop_12,0.0
GradientBoosting 100,Temporal,previous_crop_13,0.0
GradientBoosting 100,Temporal,previous_crop_14,0.0
GradientBoosting 100,Temporal,previous_crop_15,0.0
GradientBoosting 100,Temporal,previous_crop_16,0.0
GradientBoosting 100,Temporal,previous_crop_17,0.0
GradientBoosting 100,Temporal,previous_crop_18,0.0
GradientBoosting 100,Temporal,previous_crop_19,0.0
GradientBoosting 100,Temporal,previous_crop_20,0.0
GradientBoosting 100,Temporal,previous_crop_21,0.0
GradientBoosting 100,Temporal,previous_crop_22,0.0
GradientBoosting 100,Temporal,previous_crop_23,0.0
GradientBoosting 100,Temporal,previous_crop_24,0.0
GradientBoosting 100,Temporal,previous_crop_25,0.0
GradientBoosting 100,Temporal,previous_crop_26,0.0
GradientBoosting 100,Temporal,previous_crop_27,0.0
GradientBoosting 100,Temporal,previous_crop_28,0.0
GradientBoosting 100,Temporal,previous_crop_29,0.0
GradientBoosting 100,Temporal,previous_crop_30,0.0
GradientBoosting 100,Temporal,previous_crop_31,0.0
GradientBoosting 100,Temporal,previous_crop_32,0.0
GradientBoosting 100,Temporal,previous_crop_33,0.0
GradientBoosting 100,Temporal,previous_crop_34,0.0
GradientBoosting 100,Temporal,previous_crop_35,0.0
GradientBoosting 100,Temporal,previous_crop_36,0.0
GradientBoosting 100,Temporal,previous_crop_37,0.0
GradientBoosting 100,Temporal,region_1,0.0
GradientBoosting 100,Temporal,region_2,0.0
GradientBoosting 100,Temporal,region_3,0.0
GradientBoosting 100,Temporal,region_4,0.0
GradientBoosting 100,Temporal,region_5,0.0
GradientBoosting 100,Temporal,region_6,0.0
GradientBoosting 100,Temporal,region_7,0.0
GradientBoosting 100,Temporal,province_1,0.0
GradientBoosting 100,Temporal,province_2,0.0
GradientBoosting 100,Temporal,province_3,0.0
GradientBoosting 100,Temporal,province_4,0.01677739924399446
GradientBoosting 100,Temporal,province_5,0.0
GradientBoosting 100,Temporal,province_6,0.0
GradientBoosting 100,Temporal,province_7,0.0
GradientBoosting 100,Temporal,province_8,0.0
GradientBoosting 100,Temporal,province_9,0.0
GradientBoosting 100,Temporal,province_10,0.0
GradientBoosting 100,Temporal,province_11,0.0
GradientBoosting 100,Temporal,province_12,0.0
GradientBoosting 100,Temporal,province_13,0.0
GradientBoosting 100,Temporal,province_14,0.02413042781176434
GradientBoosting 100,Temporal,province_15,0.0034474307294925263
GradientBoosting 100,Temporal,province_16,0.0
GradientBoosting 100,Temporal,province_17,0.0
GradientBoosting 100,Temporal,province_18,0.0
GradientBoosting 100,Temporal,province_19,0.00423237995173179
GradientBoosting 100,Temporal,province_20,0.0
GradientBoosting 100,Temporal,province_21,0.0028024185108318656
GradientBoosting 100,Temporal,province_22,0.0
GradientBoosting 100,Temporal,province_23,0.0
GradientBoosting 100,Temporal,province_24,0.0
GradientBoosting 100,Temporal,province_25,0.0
GradientBoosting 100,Temporal,province_26,0.0
GradientBoosting 100,Temporal,province_27,0.0
GradientBoosting 100,Temporal,province_28,0.0
GradientBoosting 100,Temporal,province_29,0.0
GradientBoosting 100,Temporal,sub_program_1,0.0
ExtraTrees,Random,growth_season,0.25880109873729323
ExtraTrees,Random,region,0.015641914150123414
ExtraTrees,Random,province,0.004813414204554664
ExtraTrees,Random,longitude,0.014972816494469333
ExtraTrees,Random,latitude,0.08866093689705785
ExtraTrees,Random,sub_program,0.0026232230850687546
ExtraTrees,Random,crop,0.07357315912119872
ExtraTrees,Random,previous_crop,0.010121188880884242
ExtraTrees,Random,soil_ph,0.004703387082670356
ExtraTrees,Random,organic_matter_percent,0.005401543607070489
ExtraTrees,Random,phosphorus_ppm,0.011957776911035008
ExtraTrees,Random,potassium_ppm,0.006592314470780253
ExtraTrees,Random,electrical_conductivity,0.00544279257499584
ExtraTrees,Random,npk_nitrogen,0.007389131584439414
ExtraTrees,Random,npk_phosphorus_p2o5,0.008006203639447896
ExtraTrees,Random,npk_potassium_k2o,0.01934600957322524
ExtraTrees,Random,npk_magnesium_mgo,0.018533854784614653
ExtraTrees,Random,npk_calcium_cao,0.009827097586583405
ExtraTrees,Random,electrical_conductivity_encoded,0.007751515760613771
ExtraTrees,Random,climate_zone,0.01875403877624095
ExtraTrees,Random,soil_health_index,0.005272948502126721
ExtraTrees,Random,soil_fertility_index,0.006894568445288653
ExtraTrees,Random,crop_rotation_cycle,0.0025362131308783718
ExtraTrees,Random,nutrient_availability_index,0.009923666707824241
ExtraTrees,Random,soil_ph_category,0.0021395639068639595
ExtraTrees,Random,low_phosphorus_stress,0.0024022966099689685
ExtraTrees,Random,high_conductivity_stress,2.320388590172861e-05
ExtraTrees,Random,crop_soil_interaction,0.005606981387892452
ExtraTrees,Random,npk_interaction,0.006845744669164196
ExtraTrees,Random,geo_cluster,0.03131661704876594
ExtraTrees,Random,soil_ph_median,0.022015117319184322
ExtraTrees,Random,npk_nitrogen_median,0.0
ExtraTrees,Random,npk_phosphorus_p2o5_median,0.024483998866633633
ExtraTrees,Random,npk_potassium_k2o_median,0.020734184181107465
ExtraTrees,Random,longitude_cos,0.014531177120417469
ExtraTrees,Random,latitude_cos,0.0879156846239993
ExtraTrees,Random,previous_crop_1,0.0007235074287005857
ExtraTrees,Random,previous_crop_2,0.0026359473642102384
ExtraTrees,Random,previous_crop_3,0.0
ExtraTrees,Random,previous_crop_4,6.413243253180645e-06
ExtraTrees,Random,previous_crop_5,0.0023235880648848567
ExtraTrees,Random,previous_crop_6,0.0
ExtraTrees,Random,previous_crop_7,0.0008395983949272808
ExtraTrees,Random,previous_crop_8,9.410918967504308e-05
ExtraTrees,Random,previous_crop_9,0.0004895864041474944
ExtraTrees,Random,previous_crop_10,0.0010253151571483368
ExtraTrees,Random,previous_crop_11,0.001388888746750302
ExtraTrees,Random,previous_crop_12,0.00018260760834070327
ExtraTrees,Random,previous_crop_13,0.0
ExtraTrees,Random,previous_crop_14,0.0
ExtraTrees,Random,previous_crop_15,0.0
ExtraTrees,Random,previous_crop_16,0.004765534029061597
ExtraTrees,Random,previous_crop_17,0.0
ExtraTrees,Random,previous_crop_18,0.00014257169438698484
ExtraTrees,Random,previous_crop_19,0.0003167140186315371
ExtraTrees,Random,previous_crop_20,0.0007799701012272626
ExtraTrees,Random,previous_crop_21,1.0244794198729495e-05
ExtraTrees,Random,previous_crop_22,6.93350653020208e-05
ExtraTrees,Random,previous_crop_23,7.121125316846593e-05
ExtraTrees,Random,previous_crop_24,9.040352224559918e-05
ExtraTrees,Random,previous_crop_25,0.0001492830859651753
ExtraTrees,Random,previous_crop_26,0.0006672004543332658
ExtraTrees,Random,previous_crop_27,0.0
ExtraTrees,Random,previous_crop_28,0.0038082394471804764
ExtraTrees,Random,previous_crop_29,0.0
ExtraTrees,Random,previous_crop_30,0.00683112680034735
ExtraTrees,Random,previous_crop_31,2.1564672570284563e-05
ExtraTrees,Random,previous_crop_32,0.001974353485769017
ExtraTrees,Random,previous_crop_33,2.1984592142600024e-09
ExtraTrees,Random,previous_crop_34,0.0006199063828628653
