Model,R2 Random Train,MAE Random Train,sMAPE Random Train,RMSE Random Train,R2 Random Test,MAE Random Test,sMAPE Random Test,RMSE Random Test,R2 Temporal Train,MAE Temporal Train,sMAPE Temporal Train,RMSE Temporal Train,R2 Temporal Test,MAE Temporal Test,sMAPE Temporal Test,RMSE Temporal Test
AdaBoost,0.9900404039,67.68556337,0.02339005779,143.5666057,0.9459673261,159.8605913,0.05586435252,333.4255639,0.9920002715,36.89652698,0.009927071303,102.4433687,-0.5003270602,918.0310042,0.2288568167,1134.094792
AutoencoderRegressor,0.9331521866,236.040036,0.08159463218,371.9428136,0.8755432067,313.5666118,0.1122250482,506.0343146,0.8915616521,260.2644083,0.070946361,377.1704624,-1.512739971,1168.02698,0.2900591743,1467.675887
CatBoost,0.9961909038,51.20381065,0.01789881401,88.78580541,0.955629687,158.0013981,0.05692433437,302.1460425,0.9964264154,31.82198731,0.008875992832,68.46967446,-0.744462963,997.1425521,0.2453993847,1222.889628
DCNv2,0.9586285273,167.8656244,0.05300075462,292.6058867,0.9028091242,250.8987298,0.08396583419,447.1810713,0.9616564179,112.6619477,0.0303904966,224.281044,-1.114401505,1081.069918,0.2803465542,1346.325634
DNN,0.9557592704,181.2035073,0.05975226115,302.5824319,0.9127615764,237.9992173,0.08121771948,423.666933,0.9511841438,123.6533058,0.03352340986,253.0618528,-1.143210559,1114.179394,0.2698966594,1355.466552
ElasticNet,0.7028708582,611.8029119,0.2050868198,784.1609172,0.7188506249,599.4693537,0.2081085827,760.5700604,0.687716723,515.7031719,0.1365095448,640.0598597,-0.206007624,853.4128429,0.2171367315,1016.79034
ExtraTrees,0.998552184,9.813232951,0.003351159895,54.73804195,0.955416499,129.752757,0.04553206314,302.8710401,0.9979992606,4.500101812,0.001194496718,51.2320214,-0.4545512676,903.8203502,0.2227929659,1116.659851
FeatureAttentionNN,0.9412275621,214.9517501,0.07154610588,348.7541802,0.9066123318,254.078142,0.08567344591,438.3443672,0.9038665028,198.8916275,0.05220632173,355.1269232,-0.7322892583,991.4668292,0.2469788637,1218.615201
GradientBoosting 100,0.5907873133,793.2432759,0.2554990088,920.2527282,0.6063423445,775.6856548,0.2542227828,899.974108,0.5380608725,651.825156,0.1740407846,778.4641244,0.1734267003,691.6941479,0.178888902,841.7770309
GradientBoosting 5000,0.9905582927,89.78015168,0.0312203025,139.7841195,0.9522601564,179.9821849,0.06473503,313.4087811,0.9926936515,55.7227515,0.01550405899,97.9030947,-0.6234770137,948.6926664,0.2405748673,1179.721399
HistGB,0.9973393235,23.04001514,0.007931442155,74.20422029,0.9575754317,145.6523436,0.05311535444,295.446861,0.9971985235,12.77221303,0.003516718957,60.62332057,-0.5361792879,931.4535446,0.2327466197,1147.565115
Huber,0.1815544777,1075.869012,0.3368030285,1301.449909,0.1717465726,1067.829239,0.3375190429,1305.426081,0.1394664057,846.2383148,0.224897632,1062.502945,-0.04470834805,760.9499121,0.1969817366,946.3546438
KNN,0.9980565273,11.1060228,0.003728968113,63.41935005,0.6289303845,448.4035252,0.1480708218,873.7724784,0.9978708434,4.94290211,0.001320485525,52.85061283,-0.3674561292,866.9194047,0.224386631,1082.712339
Lasso,0.7665623943,517.2171342,0.1761591426,695.0530909,0.7606508814,522.0582223,0.1848004501,701.7567208,0.7761653758,417.2625702,0.1111292904,541.8884088,-0.4334453576,885.10487,0.2238987194,1108.528738
LightGBM,0.9979600884,22.48123879,0.007814370202,64.97379657,0.9570515432,147.1523573,0.05322882955,297.2654569,0.9971621344,12.5654707,0.003433831924,61.01577633,-0.6130897548,949.1275404,0.235476236,1175.941322
LinearRegression,0.7157035096,579.8281293,0.1956845269,767.0405399,0.7287138389,569.7681246,0.1957677392,747.1098879,0.7795636777,415.4929789,0.1110926772,537.7591471,-0.4670873425,888.6052168,0.2243750657,1121.461503
QMLP tau0.5,0.7634843535,497.825723,0.1685243814,699.6204687,0.7703180401,493.8770206,0.1724814105,687.4389049,0.09225750474,862.8065381,0.2276470055,1091.258304,-0.07109906657,770.7951253,0.2004932274,958.2331815
RandomForest,0.9922920475,61.65288917,0.02140685866,126.2996315,0.9487216674,153.5876401,0.05375940032,324.8161481,0.9929278954,35.49883607,0.009522441487,96.32090738,-0.5503462026,926.6207212,0.2296261261,1152.844495
