Crop,Method,Optimized N,Optimized P,Optimized K,Objective Value,Yield Improvement,Nutrient Efficiency,Environmental Impact
Barley,Gradient Descent,40.0,50.0,50.0,1720.5556597058087,491.7456701940039,13.512469072814314,171.19001052081092
Barley,Genetic Algorithm,26.88857438838822,25.176210758127795,69.15459999028887,1828.0448433723536,574.7712610229275,16.29088663330749,147.04175416738775
Barley,Particle Swarm Optimization,27.700643433456804,24.0,70.0,1832.8495746559008,580.1303880070548,16.27050056715391,147.65590009557775
Barley,Simulated Annealing,27.852483883235404,24.297851553853175,69.98434290791172,1834.9484903834957,579.7791798941798,16.209803855230966,145.03726195337683
Barley,Bayesian Optimization,28.40733169581041,24.0,70.0,1833.6705072536165,579.7846472663139,16.17374237179026,148.51640065145745
Barley,Bayesian-Evolutionary Hybrid,28.54198715028281,24.0,70.0,1829.193382640104,579.7197795414461,16.1554404786464,148.73036106311818
Barley,Gradient-Assisted Evolutionary,30.015879621168093,24.48104264010336,69.55033800443316,1827.363621271248,578.0180246913578,15.945680867554165,150.65440323621638
Barley,Adaptive Differential Evolution,21.63314735839392,27.921818454231847,69.74181090279873,1821.8053807576475,563.822548500882,16.461656404895717,144.59034381978103
Barley,Policy-Based Optimization,20.0,24.0,20.0,1780.6455574887468,456.3750617283952,29.00586033950617,75.72950423964845
Barley,Q-Learning Optimization,25.273896970730345,38.40170649126713,37.73494399038125,1772.3573780865006,492.3537918871255,18.6603251774748,126.0562876555052
Durum Wheat,Gradient Descent,40.0,50.0,50.0,2118.099557566791,-12.415102618542733,16.339892124153266,169.48533981936262
Durum Wheat,Genetic Algorithm,28.53888660472469,24.57295091428821,55.296691245364286,2195.234864553028,24.9925902335458,21.44658373961379,129.75772568051818
Durum Wheat,Particle Swarm Optimization,29.08630259191582,24.0,69.48660346553544,2199.090634009868,45.98109695682933,19.139475210428987,147.45704483547536
Durum Wheat,Simulated Annealing,28.740631215243955,24.064019479598077,69.04686611914518,2200.927808338321,44.91973814578887,19.24407507971717,146.54382080976194
Durum Wheat,Bayesian Optimization,30.282883555696955,24.0,58.77104205495674,2198.5712250178603,32.69452937013466,20.63346776124961,135.42363017782017
Durum Wheat,Bayesian-Evolutionary Hybrid,28.70320541356074,24.00000290663298,58.51879118280731,2198.785304685964,32.046036801132686,20.967488871104216,133.2607321151691
Durum Wheat,Gradient-Assisted Evolutionary,31.32321445214124,24.395745783933084,53.46705343709835,2192.058825370168,22.78389950459996,21.27363955659565,130.7250741349536
Durum Wheat,Adaptive Differential Evolution,31.681625703087278,26.51043631147571,68.39053912007347,2188.789962585991,41.89512384996488,18.500924320231544,152.50682367068578
Durum Wheat,Policy-Based Optimization,20.0,24.0,70.0,2190.6976280026024,27.42392781316312,20.41599936678213,136.72629981056062
Durum Wheat,Q-Learning Optimization,27.095054069715214,24.15950211284649,70.0,2194.291323762586,39.66433121019054,19.29547560825323,148.83659087865362
Soft Wheat,Gradient Descent,40.0,50.0,50.0,3722.5731605847113,-11.29351708254626,27.77647487798181,166.1333223609864
Soft Wheat,Genetic Algorithm,22.510842384461057,31.60443041690465,45.83928519772588,3820.302068038584,38.32261142592006,39.40113077646457,117.56440397089295
Soft Wheat,Particle Swarm Optimization,20.0,24.0,52.95030682435041,3840.762348447081,54.71335503860564,40.79113810545801,113.95458525124346
Soft Wheat,Simulated Annealing,21.420926751938207,24.01607884060303,54.32218123190427,3841.750067297652,58.29497531232346,39.67850081093847,117.45279291774322
Soft Wheat,Bayesian Optimization,21.573890724938025,24.0,52.98904116078516,3840.9424667604,56.835506511582025,40.14526993879662,115.8902746540702
Soft Wheat,Bayesian-Evolutionary Hybrid,20.00000100226669,24.00000230521338,54.25358649000622,3840.5006225666384,56.02061321536303,40.26336972897629,115.51999064872444
Soft Wheat,Gradient-Assisted Evolutionary,20.632320523770147,24.184603872023377,52.95919302873988,3839.982070114924,54.92845362362095,40.44881876881802,114.9463835087888
Soft Wheat,Adaptive Differential Evolution,23.80050153264728,29.72987209899716,51.40671530736623,3825.589742852897,49.15142989694141,37.633514230532775,123.56168704404442
Soft Wheat,Policy-Based Optimization,36.17565178289424,31.146510786880896,53.08937290243122,3780.678391190602,23.34629022102945,32.58281089793614,142.01122251111272
Soft Wheat,Q-Learning Optimization,25.86552398086438,69.01377909605446,49.77866597057745,3727.4702580192634,-1.6111023295889026,26.949008916269477,171.28190887089858
