Method,Crop,Optimized N,Optimized P,Optimized K,Objective Value,Yield Improvement,Nutrient Efficiency,Environmental Impact
Adaptive Differential Evolution,3,77.11527459412846,84.16212686470472,189.53906533023843,7836.185086196536,654.8691022477883,72.59609495566004,420.6588545345113
Bayesian Optimization,3,80.26410597644539,72.0,181.7600832157419,7873.184199031877,669.3146831480306,76.9524800718365,399.83030548334784
Bayesian-Evolutionary Hybrid,3,77.24519356611023,72.00000521184636,182.77237767281355,7868.479309892706,667.7864295579418,77.3862990787269,397.5110838270117
Genetic Algorithm,3,77.93830337757397,81.35359208932066,170.29057643337904,7843.581775963967,638.0864626823934,77.13860114938585,394.36388381879885
Gradient Descent,3,120.0,150.0,150.0,7561.228377857311,468.0370504929149,57.62883607494939,506.80867270116
Gradient-Assisted Evolutionary,3,81.97141459707947,73.06139229605982,175.97658447027138,7859.40451675634,655.7303778195787,77.66813919296784,396.3258608799588
Particle Swarm Optimization,3,76.78694602537263,72.0,192.43691028988584,7872.702557112849,680.8248400024897,76.2011138830409,409.0675301822965
Policy-Based Optimization,3,76.17565178289423,79.1465107868809,143.08937290243122,7752.021576681951,507.1452797625877,82.00467060422444,354.4670265613218
Q-Learning Optimization,3,78.23447502130995,131.5749877001681,157.51360996095872,7694.118959868349,530.4070207677271,64.90480970199751,446.1747874050574
Simulated Annealing,3,78.01404185041757,72.37794987405428,193.3533902589612,7877.626366019469,682.9938933522922,75.13237974588661,409.033875680882
